Crop,Region,Baseline_Yield,Stability_Score,Resilience_Index,CV
Maize,South-East,1848.551290540985,0.9154359158362408,0.934624019090488,0.09237575531052963
Maize,South-West,1849.4332383944409,0.9062007668750849,0.9272233271180115,0.10350822527812407
Maize,South-South,1592.52905850512,0.9018706309056378,0.9237336953613033,0.10880648036606197
Yam,North-East,10126.09418865751,0.8815940684402757,0.9072198086583753,0.1343089022470502
Rice,South-East,2140.6579605350717,0.8685133143219279,0.896408450487032,0.15139282669572812
Rice,North-Central,2290.3753693030785,0.8661322996305265,0.8944266427715418,0.15455802817488568
Cassava,North-East,5889.059408661082,0.860255006736736,0.8895160009159242,0.16244600980977505
Cassava,South-West,12931.819554369273,0.8492213416590039,0.8802233447743062,0.17754930422078322
Yam,North-Central,13375.025719391811,0.8448774664902139,0.8765378364694492,0.18360358710263083
Rice,North-East,1683.2702593548488,0.8369208050384376,0.8697463563454972,0.19485618469488603
Maize,North-Central,1945.0799995485131,0.829783663794673,0.8636084843116199,0.20513339034286682
Yam,North-West,8553.73405667243,0.829572558524763,0.8634262626719371,0.20544006636177778
Rice,South-West,1932.037496095995,0.8241916031564411,0.8587682754998615,0.21331010431343647
Cassava,South-East,12449.755664996417,0.820008096807815,0.8551290100070703,0.2195001535873488
Rice,North-West,1802.233522172094,0.814143720194978,0.850000769577835,0.22828436207861605
Maize,North-East,1676.4813716485507,0.8036020724152269,0.8407017887297856,0.24439698991131134
Maize,North-West,1648.3281036690057,0.8017425593526001,0.8390504874735352,0.24728316881105947
Rice,South-South,2006.655435754146,0.7999593205551607,0.8374637690613826,0.2500635648647907
Cassava,North-West,6531.576037603638,0.7965021543807141,0.8343787309261128,0.25548938505697694
Yam,South-West,9876.171959625168,0.7662813599830663,0.8068897582602195,0.3050036869252548
Yam,South-South,8029.0108216568005,0.7629118845509831,0.8037641012352394,0.31076736416100875
Cassava,South-South,9321.605755242897,0.762474302703093,0.8033572488896404,0.3115196098476243
Yam,South-East,12189.329816298748,0.6607527460395463,0.7020200188487722,0.5134254166840038
Cassava,North-Central,11829.01394769335,0.5825032033715198,0.6120694125527153,0.7167287565321784
